run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,412.35767782671866,252.66431621616448,1.6107721790106198,0.9869699852193925,18.510367465746974,26.33310887880004,15.090049836788676
2,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,419.95238353371684,287.81933025370967,1.6404389981785814,1.1242942588035534,18.510367465746974,26.08530540383081,17.269723702102596
3,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,400.0187634323759,282.6686710359497,1.5625732946577184,1.1041744962341786,18.510367465746974,26.400115443847394,16.682888430671923
4,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,397.8652544500259,337.4376775322163,1.5541611501954136,1.31811592786022,18.510367465746974,23.445412970953644,11.317537377591506
5,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,412.36384928803545,295.831184499663,1.6107962862813885,1.1555905644518085,18.510367465746974,25.202099418800614,17.772725363328885
6,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,406.9043860025454,307.0246743863996,1.589470257822443,1.1993151343218735,18.510367465746974,24.40863581977959,12.323540700044084
7,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,409.65017107638465,257.8737727922132,1.6001959807671275,1.0073194249695827,18.510367465746974,25.96594008602976,14.75471539597115
8,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,408.1475293036961,253.93671282157553,1.594326286342563,0.9919402844592794,18.510367465746974,25.197167247680223,14.75471539597115
9,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,402.9221788268308,264.98031241569436,1.5739147610423079,1.035079345373806,18.510367465746974,26.96447615508296,15.928385938832491
10,Toeplitz,7,256,256,10,2026,2028,0.3,1.0,1.1,21.46140421232167,398.49097852437285,248.92606424974824,1.5566053848608314,0.972367438475579,18.510367465746974,24.82072860828074,14.838549006175532
