run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,696.091090703999,234.730651628598,2.7191058230624963,0.9169166079242109,11.111111111111112,23.724128661138213,8.846788194444446
2,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,685.5452391871713,231.85941981103554,2.677911090574888,0.9057008586368576,11.111111111111112,21.53342921824622,7.181510416666667
3,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,683.6874366393101,226.41421292838106,2.670654049372305,0.8844305192514885,11.111111111111112,22.56906951139729,7.545789930555557
4,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,694.4695548424918,238.06397421540345,2.7127716986034836,0.9299373992789197,11.111111111111112,23.040478197278816,8.950868055555556
5,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,691.1694411030049,221.36673541911574,2.699880629308613,0.8647138102309209,11.111111111111112,22.246986809561232,12.322222222222225
6,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,688.8006906906744,215.37655670937863,2.690627698010447,0.8413146746460103,11.111111111111112,23.149662131090395,12.322222222222225
7,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,700.7010863277962,221.88881988596296,2.737113618467954,0.8667532026795428,11.111111111111112,22.609043197448727,8.066189236111112
8,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,697.5520162677847,282.21136016345315,2.724812563546034,1.1023881256384889,11.111111111111112,23.60536935454556,12.322222222222225
9,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,696.0764363567423,220.0251101796001,2.7190485795185246,0.8594730866390629,11.111111111111112,22.602976720199912,8.482508680555556
10,Two-spike,7,256,256,10,2026,2027,0.3,1.0,1.1,13.322222222222225,682.5667081385229,234.01150139127418,2.666276203666105,0.9141074273096648,11.111111111111112,20.98557345577984,6.817230902777778
