run,sigma_setting,k,d,n,num_runs,seed,rng_seed,tau_min,tau_max,b_plus_multiplier,b_plus_oracle,L1_empirical,L1_recovered,normalized_L1_empirical,normalized_L1_recovered,true_max_eig,empirical_max_eig,recovered_max_eig
1,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,452.32102849344824,166.98469989796956,1.7668790175525322,0.6522839839764436,11.111111111111112,21.50451795855892,12.322222222222225
2,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,440.75443588676825,247.65606846322197,1.7216970151826885,0.9674065174344608,11.111111111111112,21.543273089079527,12.322222222222225
3,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,447.7899819158026,250.8469127218226,1.749179616858604,0.9798707528196196,11.111111111111112,20.96842484718081,12.322222222222225
4,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,449.98565584715766,260.41454791544163,1.7577564681529596,1.0172443277946939,11.111111111111112,21.5887662139576,8.170269097222222
5,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,432.19731979589693,201.06094550390702,1.6882707804527224,0.7853943183746368,11.111111111111112,21.163179490556182,9.523307291666669
6,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,442.62478808349135,238.05511560626857,1.729003078451138,0.9299027953369866,11.111111111111112,21.52466339994207,12.322222222222225
7,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,440.36938627780387,258.46926621272314,1.7201929151476714,1.0096455711434498,11.111111111111112,21.043502348811227,8.066189236111112
8,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,439.3812001572044,249.71248309259695,1.7163328131140796,0.9754393870804569,11.111111111111112,20.645366514934103,12.322222222222225
9,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,441.35477863763833,282.0062908324762,1.7240421040532747,1.1015870735643603,11.111111111111112,21.208300117091014,8.846788194444446
10,Identity,7,256,256,10,2026,2026,0.3,1.0,1.1,13.322222222222225,432.1222756796502,242.8289568854622,1.6879776393736337,0.9485506128338367,11.111111111111112,21.812224576215996,12.281423611111112
