sigma_setting,k,d,n,num_runs,tau_min,tau_max,b_plus_multiplier,normalized_L1_empirical_mean,normalized_L1_empirical_std,normalized_L1_recovered_mean,normalized_L1_recovered_std,reduction_percent
Identity,7,256,256,10,0.3,1.0,1.1,1.7261331448339305,0.02634055359861022,0.9367325340358945,0.12792187035463748,45.73231289605898
Two-spike,7,256,256,10,0.3,1.0,1.1,2.7018201954130854,0.024551993548452163,0.9085735712235167,0.07402634855816113,66.37179732515088
Toeplitz,7,256,256,10,0.3,1.0,1.1,1.5893254579158995,0.02776298368719051,1.0895166860169274,0.11234082119806808,31.44785540366144
