sigma_setting,k,d,n,num_runs,tau_min,tau_max,b_plus_multiplier,normalized_L1_empirical_mean,normalized_L1_empirical_std,normalized_L1_recovered_mean,normalized_L1_recovered_std,reduction_percent
Identity,7,256,128,10,0.3,1.0,1.1,2.616743389197616,0.03154872783072488,1.2384640703626415,0.24131155749058672,52.67155061993307
Two-spike,7,256,128,10,0.3,1.0,1.1,3.856093481400032,0.04388264696393347,1.1950461262594754,0.24982642822233914,69.00889119976443
Toeplitz,7,256,128,10,0.3,1.0,1.1,2.4264721229686823,0.03794105257703902,1.2958099188040464,0.21080956983486496,46.59695833559877
